box_id,year,month,sst_mean_monthly
-39_147,2006,2,18.45705316747938
-39_147,2006,3,18.439677192318825
-39_147,2006,4,16.801416277885437
-39_147,2006,5,14.860644786588606
-39_147,2006,6,14.03091634909312
-39_147,2006,7,13.202257694736604
-39_147,2006,8,12.351532013185563
-39_147,2006,9,12.399249728520711
-39_147,2006,10,13.117983602708385
-39_147,2006,11,14.267499661445617
-39_147,2006,12,15.390080290455971
-39_147,2007,1,17.045483481499456
-39_147,2007,2,19.19321382045746
-39_147,2007,3,18.148467402304373
-39_147,2007,4,17.14699959754944
-39_147,2007,5,16.317902811111942
-39_147,2007,6,14.729832951227824
-39_147,2007,7,13.680564172806278
-39_147,2007,8,12.877177115409605
-39_147,2007,9,13.033416366577148
-39_147,2007,10,13.497419041972007
-39_147,2007,11,15.079166253407797
-39_147,2007,12,17.401854530457527
-39_147,2008,1,18.82911248360911
-39_147,2008,2,18.361810010055017
-39_147,2008,3,17.74701573771815
-39_147,2008,4,16.72866628964742
-39_147,2008,5,15.535160995298817
-39_147,2008,6,14.542583004633586
-39_147,2008,7,13.135483611014582
-39_147,2008,8,12.53395135941044
-39_147,2008,9,12.981833028793336
-39_147,2008,10,13.328789995562646
-39_147,2008,11,14.380916293462118
-39_147,2008,12,15.627983547026112
-39_147,2009,1,17.692499622221916
-39_147,2009,2,18.494553106171743
-39_147,2009,3,17.67653185321439
-39_147,2009,4,16.97599959373474
-39_147,2009,5,15.403709311639108
-39_147,2009,6,14.217833018302917
-39_147,2009,7,13.829677128022716
-39_147,2009,8,13.332015814319734
-39_147,2009,9,13.605166339874268
-39_147,2009,10,13.984596460096297
-39_147,2009,11,15.747916332880656
-39_147,2009,12,16.964435131319107
-39_147,2010,1,18.045806038764216
-39_147,2010,2,19.477142333984375
-39_147,2010,3,19.034273778238603
-39_147,2010,4,17.49016628265381
-39_147,2010,5,16.4429029726213
-39_147,2010,6,15.082249641418457
-39_147,2010,7,13.742902932628509
-39_147,2010,8,12.968467435529154
-39_147,2010,9,12.5625830411911
-39_147,2010,10,13.319919055508029
-39_147,2010,11,14.74649965763092
-39_147,2010,12,16.470080244925715
-39_147,2011,1,17.81040278557808
-39_147,2011,2,18.685713819095067
-39_147,2011,3,18.146773876682406
-39_147,2011,4,17.265249586105348
-39_147,2011,5,15.751370622265723
-39_147,2011,6,14.04841632048289
-39_147,2011,7,12.777015855235438
-39_147,2011,8,12.407338457722817
-39_147,2011,9,12.997333033879597
-39_147,2011,10,13.841854541532454
-39_147,2011,11,14.914666334788004
-39_147,2011,12,16.561693160764634
-39_147,2012,1,18.609031846446374
-39_147,2012,2,19.14698235741977
